locus_tag	ftype	length_bp	gene	EC_number	COG	product
MINDJIJG_00393	CDS	852	nfo	3.1.21.2	COG0648	putative endonuclease 4
MINDJIJG_00394	CDS	1617	rpoD			RNA polymerase sigma factor RpoD
MINDJIJG_00395	CDS	1860	dnaG	2.7.7.-		DNA primase
MINDJIJG_00396	CDS	1377	glyQS	6.1.1.14		Glycine--tRNA ligase
MINDJIJG_00397	CDS	1329	ffh		COG0541	Signal recognition particle protein
MINDJIJG_00398	CDS	3240	smc_2			Chromosome partition protein Smc
MINDJIJG_00399	CDS	981	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
MINDJIJG_00400	CDS	1149	metK	2.5.1.6		S-adenosylmethionine synthase
MINDJIJG_00401	tRNA	74				tRNA-Trp(cca)
MINDJIJG_00402	CDS	1674				hypothetical protein
MINDJIJG_00403	CDS	1167				hypothetical protein
MINDJIJG_00404	CDS	1140				hypothetical protein
MINDJIJG_00405	CDS	336				hypothetical protein
MINDJIJG_00406	CDS	1320	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
MINDJIJG_00407	CDS	969	ldh	1.1.1.27		L-lactate dehydrogenase
MINDJIJG_00408	CDS	744	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
MINDJIJG_00409	CDS	2811	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
MINDJIJG_00410	CDS	975	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MINDJIJG_00411	CDS	1146	ftsZ			Cell division protein FtsZ
MINDJIJG_00412	CDS	1068				hypothetical protein
MINDJIJG_00413	CDS	903	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
MINDJIJG_00414	CDS	441	mraZ			Transcriptional regulator MraZ
MINDJIJG_00415	tRNA	76				tRNA-Thr(cgt)
MINDJIJG_00416	tRNA	75				tRNA-Asn(gtt)
MINDJIJG_00417	tRNA	76				tRNA-Glu(ttc)
MINDJIJG_00418	tRNA	76				tRNA-Val(tac)
MINDJIJG_00419	CDS	1824			COG1132	putative ABC transporter ATP-binding protein
MINDJIJG_00420	CDS	1785	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
MINDJIJG_00421	CDS	2259				hypothetical protein
MINDJIJG_00422	tRNA	76				tRNA-Lys(ctt)
MINDJIJG_00423	tRNA	85				tRNA-Leu(tag)
MINDJIJG_00424	tRNA	76				tRNA-Thr(tgt)
MINDJIJG_00425	CDS	864	truB	5.4.99.25		tRNA pseudouridine synthase B
MINDJIJG_00426	CDS	804		3.1.3.-	COG0561	Putative phosphatase
MINDJIJG_00427	CDS	726	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
MINDJIJG_00428	CDS	873				hypothetical protein
MINDJIJG_00429	CDS	2784				hypothetical protein
MINDJIJG_00430	CDS	1467	lysS	6.1.1.6		Lysine--tRNA ligase
MINDJIJG_00431	tRNA	75				tRNA-Arg(cct)
MINDJIJG_00432	CDS	225				hypothetical protein
MINDJIJG_00433	CDS	906				hypothetical protein
MINDJIJG_00434	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
MINDJIJG_00435	CDS	2484	lon1	3.4.21.53	COG0466	Lon protease 1
MINDJIJG_00436	CDS	789	grpE			Protein GrpE
MINDJIJG_00437	CDS	1053	hrcA			Heat-inducible transcription repressor HrcA
MINDJIJG_00438	tRNA	77				tRNA-Arg(acg)
MINDJIJG_00439	tRNA	75				tRNA-Cys(gca)
MINDJIJG_00440	CDS	903				hypothetical protein
MINDJIJG_00441	CDS	906				hypothetical protein
MINDJIJG_00442	CDS	2991	dnaE2	2.7.7.7		Error-prone DNA polymerase
MINDJIJG_00443	CDS	894	polA	2.7.7.7		DNA polymerase I, thermostable
MINDJIJG_00444	CDS	1359	atpD_2	7.1.2.2	COG0055	ATP synthase subunit beta
MINDJIJG_00445	CDS	1539	atpA_2	7.1.2.2		ATP synthase subunit alpha
MINDJIJG_00446	CDS	2055				hypothetical protein
MINDJIJG_00447	CDS	468				hypothetical protein
MINDJIJG_00448	CDS	897				hypothetical protein
MINDJIJG_00449	CDS	504				hypothetical protein
MINDJIJG_00450	CDS	1482				hypothetical protein
MINDJIJG_00451	CDS	2307				hypothetical protein
MINDJIJG_00452	CDS	2427				Membrane-associated lipoprotein
MINDJIJG_00453	CDS	1614	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
MINDJIJG_00454	CDS	261				hypothetical protein
MINDJIJG_00455	CDS	8376				hypothetical protein
MINDJIJG_00456	CDS	972	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MINDJIJG_00457	CDS	747				hypothetical protein
MINDJIJG_00458	CDS	2142				hypothetical protein
MINDJIJG_00459	CDS	1749				hypothetical protein
MINDJIJG_00460	CDS	321	hit		COG0537	Protein hit
MINDJIJG_00461	CDS	225				hypothetical protein
MINDJIJG_00462	CDS	978				hypothetical protein
MINDJIJG_00463	CDS	1020				hypothetical protein
MINDJIJG_00464	CDS	1941				Putative ABC transporter ATP-binding protein MG187 
MINDJIJG_00465	CDS	969				hypothetical protein
MINDJIJG_00466	CDS	2100				hypothetical protein
MINDJIJG_00467	CDS	813				hypothetical protein
MINDJIJG_00468	tRNA	84				tRNA-Leu(caa)
MINDJIJG_00469	CDS	528				hypothetical protein
MINDJIJG_00470	CDS	1230	arcA	3.5.3.6		Arginine deiminase
MINDJIJG_00471	CDS	258				hypothetical protein
MINDJIJG_00472	CDS	861	fba	4.1.2.13		Fructose-bisphosphate aldolase
MINDJIJG_00473	CDS	1743	rnj1	3.1.-.-		Ribonuclease J 1
MINDJIJG_00474	CDS	492				hypothetical protein
MINDJIJG_00475	CDS	936	trxB	1.8.1.9	COG0492	Thioredoxin reductase
MINDJIJG_00476	CDS	939	lgt	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
MINDJIJG_00477	CDS	2829	uvrA			UvrABC system protein A
MINDJIJG_00478	CDS	1176				hypothetical protein
MINDJIJG_00479	CDS	1422				hypothetical protein
MINDJIJG_00480	CDS	921	cof	3.6.1.-		HMP-PP phosphatase
MINDJIJG_00481	CDS	804				hypothetical protein
MINDJIJG_00482	CDS	498	rplJ		COG0244	50S ribosomal protein L10
MINDJIJG_00483	CDS	375	rplL		COG0222	50S ribosomal protein L7/L12
MINDJIJG_00484	CDS	3600	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
MINDJIJG_00485	CDS	4407	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
MINDJIJG_00486	CDS	174				hypothetical protein
MINDJIJG_00487	CDS	705				hypothetical protein
MINDJIJG_00488	CDS	396				hypothetical protein
MINDJIJG_00489	CDS	1086	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
MINDJIJG_00490	CDS	399	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
MINDJIJG_00491	CDS	555				hypothetical protein
MINDJIJG_00492	CDS	936	tsaD	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
MINDJIJG_00493	CDS	552	engB			GTP-binding protein EngB
MINDJIJG_00494	CDS	1974	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
MINDJIJG_00495	CDS	441	rplI			50S ribosomal protein L9
MINDJIJG_00496	CDS	1398	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
MINDJIJG_00497	CDS	1443				hypothetical protein
MINDJIJG_00498	CDS	1335				hypothetical protein
MINDJIJG_00499	CDS	477	tadA	3.5.4.33		tRNA-specific adenosine deaminase
MINDJIJG_00500	CDS	198				hypothetical protein
MINDJIJG_00501	CDS	2886				hypothetical protein
MINDJIJG_00502	CDS	1146	oppB		COG0601	Oligopeptide transport system permease protein OppB
MINDJIJG_00503	CDS	1275				hypothetical protein
MINDJIJG_00504	CDS	1167	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
MINDJIJG_00505	CDS	2529	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MINDJIJG_00506	CDS	432	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
MINDJIJG_00507	CDS	1821	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MINDJIJG_00508	CDS	342	rbfA			Ribosome-binding factor A
MINDJIJG_00509	CDS	1818	infB			Translation initiation factor IF-2
MINDJIJG_00510	CDS	303				hypothetical protein
MINDJIJG_00511	CDS	1641	nusA			Transcription termination/antitermination protein NusA
MINDJIJG_00512	CDS	3084	hsdR	3.1.21.3		Type I restriction enzyme EcoR124II R protein
MINDJIJG_00513	CDS	615				hypothetical protein
MINDJIJG_00514	CDS	282				hypothetical protein
MINDJIJG_00515	CDS	201				hypothetical protein
MINDJIJG_00516	CDS	492				hypothetical protein
MINDJIJG_00517	CDS	5514				hypothetical protein
MINDJIJG_00518	CDS	501				hypothetical protein
MINDJIJG_00519	tRNA	77				tRNA-His(gtg)
MINDJIJG_00520	CDS	1407				hypothetical protein
MINDJIJG_00521	CDS	297				hypothetical protein
MINDJIJG_00522	CDS	1680				hypothetical protein
MINDJIJG_00523	CDS	693				hypothetical protein
MINDJIJG_00524	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
MINDJIJG_00525	CDS	588	tdk	2.7.1.21	COG1435	Thymidine kinase
MINDJIJG_00526	CDS	1737				hypothetical protein
MINDJIJG_00527	CDS	1896				hypothetical protein
MINDJIJG_00528	CDS	672	recO			DNA repair protein RecO
MINDJIJG_00529	CDS	717	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
MINDJIJG_00530	CDS	1299	pdp	2.4.2.2		Pyrimidine-nucleoside phosphorylase
MINDJIJG_00531	CDS	663	deoC1	4.1.2.4		Deoxyribose-phosphate aldolase 1
MINDJIJG_00532	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
MINDJIJG_00533	CDS	963	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
MINDJIJG_00534	CDS	699	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
MINDJIJG_00535	CDS	1101				hypothetical protein
MINDJIJG_00536	CDS	240				hypothetical protein
MINDJIJG_00537	CDS	1626	argS	6.1.1.19		Arginine--tRNA ligase
MINDJIJG_00538	CDS	1206	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
MINDJIJG_00539	CDS	693		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
MINDJIJG_00540	CDS	936	arcC1	2.7.2.2		Carbamate kinase 1
MINDJIJG_00541	CDS	1044	arcB	2.1.3.3	COG0078	Ornithine carbamoyltransferase, catabolic
MINDJIJG_00542	CDS	519	mscL			Large-conductance mechanosensitive channel
MINDJIJG_00543	tRNA	93				tRNA-Ser(gct)
MINDJIJG_00544	CDS	681				hypothetical protein
MINDJIJG_00545	tRNA	77				tRNA-Ile(gat)
MINDJIJG_00546	CDS	399	rpsI		COG0103	30S ribosomal protein S9
MINDJIJG_00547	CDS	435	rplM			50S ribosomal protein L13
MINDJIJG_00548	CDS	663	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
MINDJIJG_00549	CDS	1794				hypothetical protein
MINDJIJG_00550	CDS	1218				hypothetical protein
MINDJIJG_00551	CDS	2136				hypothetical protein
MINDJIJG_00552	CDS	828	der_2			GTPase Der
MINDJIJG_00553	CDS	558	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
MINDJIJG_00554	CDS	267	rpsO		COG0184	30S ribosomal protein S15
MINDJIJG_00555	CDS	696				hypothetical protein
MINDJIJG_00556	CDS	597				hypothetical protein
MINDJIJG_00557	CDS	363				hypothetical protein
MINDJIJG_00558	tRNA	84				tRNA-Tyr(gta)
MINDJIJG_00559	tRNA	75				tRNA-Gln(ttg)
MINDJIJG_00560	CDS	1350				hypothetical protein
MINDJIJG_00561	CDS	1869				hypothetical protein
MINDJIJG_00562	CDS	180				hypothetical protein
MINDJIJG_00563	CDS	252				hypothetical protein
MINDJIJG_00564	CDS	309				hypothetical protein
MINDJIJG_00565	CDS	378				hypothetical protein
MINDJIJG_00566	CDS	708				hypothetical protein
MINDJIJG_00567	CDS	555	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
MINDJIJG_00568	CDS	1563		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
MINDJIJG_00569	CDS	2916				hypothetical protein
MINDJIJG_00570	CDS	642				hypothetical protein
MINDJIJG_00571	CDS	1011				hypothetical protein
MINDJIJG_00572	CDS	1551				hypothetical protein
MINDJIJG_00573	CDS	2202				hypothetical protein
MINDJIJG_00574	CDS	525				hypothetical protein
MINDJIJG_00575	CDS	507				hypothetical protein
MINDJIJG_00576	CDS	591				hypothetical protein
MINDJIJG_00577	CDS	588	nusG			Transcription termination/antitermination protein NusG
MINDJIJG_00578	CDS	240				hypothetical protein
MINDJIJG_00579	CDS	1656				hypothetical protein
MINDJIJG_00580	CDS	1149	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
MINDJIJG_00581	CDS	306	vapD	3.1.-.-	COG3309	Endoribonuclease VapD
MINDJIJG_00582	CDS	864				hypothetical protein
MINDJIJG_00583	CDS	1971	uvrB		COG0556	UvrABC system protein B
MINDJIJG_00584	CDS	618				hypothetical protein
MINDJIJG_00585	CDS	1530				hypothetical protein
MINDJIJG_00586	CDS	1722				hypothetical protein
MINDJIJG_00587	CDS	504				hypothetical protein
MINDJIJG_00588	CDS	618				hypothetical protein
MINDJIJG_00589	CDS	2187				hypothetical protein
MINDJIJG_00590	CDS	294				hypothetical protein
MINDJIJG_00591	CDS	432				hypothetical protein
MINDJIJG_00592	CDS	219				hypothetical protein
MINDJIJG_00593	CDS	672				hypothetical protein
MINDJIJG_00594	CDS	681				hypothetical protein
MINDJIJG_00595	CDS	987	nrnA_1	3.1.-.-		Bifunctional oligoribonuclease and PAP phosphatase NrnA
MINDJIJG_00596	CDS	978	nrnA_2	3.1.-.-		Bifunctional oligoribonuclease and PAP phosphatase NrnA
MINDJIJG_00597	CDS	1080				hypothetical protein
MINDJIJG_00598	CDS	819				hypothetical protein
MINDJIJG_00599	CDS	891				hypothetical protein
MINDJIJG_00600	CDS	534				hypothetical protein
MINDJIJG_00601	CDS	465				hypothetical protein
MINDJIJG_00602	CDS	819				hypothetical protein
MINDJIJG_00603	CDS	1089				hypothetical protein
MINDJIJG_00604	CDS	483				hypothetical protein
MINDJIJG_00605	CDS	1185				hypothetical protein
MINDJIJG_00606	rRNA	1514				16S ribosomal RNA
MINDJIJG_00607	CDS	714				hypothetical protein
MINDJIJG_00608	CDS	1107				hypothetical protein
MINDJIJG_00609	CDS	843				hypothetical protein
MINDJIJG_00610	CDS	1269				IS3 family transposase ISMmy2
MINDJIJG_00611	CDS	546				hypothetical protein
MINDJIJG_00612	CDS	90				hypothetical protein
MINDJIJG_00613	rRNA	1037				23S ribosomal RNA (partial)
MINDJIJG_00614	CDS	462				hypothetical protein
MINDJIJG_00615	CDS	438				hypothetical protein
MINDJIJG_00616	CDS	786				hypothetical protein
MINDJIJG_00617	CDS	633				hypothetical protein
MINDJIJG_00618	CDS	504				hypothetical protein
MINDJIJG_00619	CDS	252				hypothetical protein
MINDJIJG_00620	tRNA	71				tRNA-Glu(ttc)
MINDJIJG_00621	CDS	495				hypothetical protein
MINDJIJG_00622	CDS	159				hypothetical protein
MINDJIJG_00623	tRNA	78				tRNA-Leu(taa)
MINDJIJG_00624	CDS	216				hypothetical protein
MINDJIJG_00625	tRNA	72				tRNA-Cys(gca)
MINDJIJG_00626	CDS	243				hypothetical protein
MINDJIJG_00627	CDS	129				hypothetical protein
MINDJIJG_00628	CDS	144				hypothetical protein
